"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","结算模块","5","0","表单校验","0"
"0","","0","Checkout","1","0","正常下单","0"
"0","","0","结算模块","1","0","取消操作","0"
